step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,CASH_OUT,DEBIT,PAYMENT,TRANSFER
134,58764.14,132263.17,19424.1,123505.52,123172.7,0,1,0,0
619,86302.02,115716.69,156714.76,71163.0,117543.76,0,0,1,1
218,98387.13,121852.04,53647.94,23305.37,120455.19,1,0,0,0
438,98021.6,38088.07,25108.31,193772.85,36796.69,0,0,1,1
250,96728.26,23718.14,198882.94,109259.03,39415.81,1,0,1,0
486,69459.36,84875.99,44316.14,10989.32,107632.6,0,1,1,0
326,78205.73,98477.46,107985.03,17533.82,112070.18,0,1,0,0
315,73516.51,130162.87,182514.88,75875.16,87746.96,0,1,1,0
701,98502.95,10808.97,53502.88,91511.27,72788.29,0,1,1,0
473,88576.64,139173.32,164673.08,34461.66,70652.47,0,1,1,1
208,97697.73,58333.84,22265.0,130641.78,194889.05,1,1,0,0
165,69037.05,50625.34,4639.26,132730.24,148931.55,0,0,1,1
508,62169.34,132370.87,44933.94,145650.59,102777.27,1,1,1,1
449,71942.07,171975.26,119430.58,72522.76,117582.4,1,1,1,0
581,29043.28,132147.59,76152.89,193892.47,134338.32,1,0,1,0
204,483.93,51492.47,39818.88,190188.04,103977.74,1,0,1,0
267,14729.55,91615.52,882.49,131179.94,74695.24,0,1,0,1
36,87954.71,150701.66,79552.04,134435.26,146149.57,1,1,1,1
667,54241.49,187298.26,115967.02,130479.44,21469.51,1,0,0,0
743,34573.88,169634.94,58774.02,5931.42,144834.42,0,1,1,1
500,78448.54,64840.21,26571.93,180228.03,61494.58,0,0,0,1
555,44983.09,131282.93,137021.07,39779.47,131116.78,0,1,0,0
294,9878.63,175154.89,14363.13,187780.81,44326.78,0,1,0,1
575,90087.3,17326.1,36076.17,69924.52,181633.4,1,0,1,0
337,69984.5,104855.2,13102.7,65196.09,101697.81,0,0,0,1
511,56236.21,176375.76,192790.46,143837.34,134135.18,1,1,0,0
405,95064.19,103048.88,39178.4,69793.78,10143.69,0,0,1,1
9,89904.56,119033.15,66905.61,155980.83,165959.39,0,1,0,0
86,82307.08,35140.84,10288.07,16834.42,14646.77,0,0,1,1
199,37672.31,158857.59,60413.68,130651.06,164078.54,1,0,0,1
246,95928.54,194484.37,49923.09,145194.23,178719.86,0,0,1,0
734,68492.02,174988.15,109374.25,186800.91,30540.67,1,0,0,0
610,33547.02,191714.42,102013.67,44220.36,131517.67,0,1,1,0
142,35165.31,71579.55,118373.17,27893.78,174274.07,1,0,0,0
597,10811.88,73934.23,194049.18,81614.47,188084.31,1,0,0,0
373,84829.43,42271.04,24869.44,190015.86,143345.65,1,1,0,1
397,31324.61,175470.44,11024.22,188745.77,11491.03,0,1,0,1
612,52266.8,45676.13,102816.78,45764.2,186674.12,0,1,1,1
453,62356.34,9568.3,126692.31,88866.35,81751.33,1,0,1,1
604,92875.14,38902.58,5061.59,159641.29,119018.55,0,1,1,0
105,79143.05,163337.28,171935.06,62326.38,36563.71,0,0,0,1
534,66543.0,185347.29,51656.64,153470.38,27220.31,1,0,0,0
288,54407.29,30616.08,195361.77,144478.48,116317.59,0,0,0,0
372,76625.85,162783.61,169521.12,91471.12,157911.54,1,0,1,0
120,62990.25,143166.96,109004.77,132495.93,102854.47,0,0,1,1
684,80628.94,129719.87,146508.68,34788.6,149968.53,0,1,1,0
151,89995.68,58345.45,25672.26,25982.45,124287.17,1,0,1,0
168,84837.29,112320.64,105659.38,54061.33,60531.39,1,1,1,0
447,16251.48,17951.14,170105.87,16102.15,103277.42,1,0,0,0
603,39771.65,187583.37,23662.19,139433.54,178861.75,0,0,1,0
68,70854.78,106704.48,161591.29,5857.35,191954.2,0,0,0,1
647,91982.91,103539.27,158176.44,124993.53,105044.47,0,1,1,0
376,58752.51,197284.7,144130.4,133360.65,27499.04,0,1,1,0
546,37301.05,172601.19,19657.33,72262.99,60834.5,0,1,0,1
381,77621.62,162131.82,89827.53,63363.36,20736.02,0,1,0,1
180,44233.48,110478.01,107868.82,82626.57,133682.97,0,0,0,1
521,37087.71,152874.32,46532.93,129517.85,93328.03,1,0,1,1
519,55415.54,148701.58,194202.02,158291.97,19145.06,1,0,0,1
211,94431.42,92293.01,115598.4,57542.68,166151.3,0,0,0,0
237,48194.47,126714.72,76818.38,119622.49,114097.58,0,1,0,1
36,34036.98,178788.73,56831.89,116065.08,70650.87,0,0,0,0
22,69708.66,94982.44,117595.42,198308.53,96869.93,1,1,0,1
661,30505.03,180769.46,54937.16,48604.54,100597.21,0,1,0,0
446,88440.09,17327.16,43521.26,78045.4,86122.72,0,1,0,0
722,45163.86,89619.4,5178.02,48905.92,144290.86,1,0,0,1
119,72249.37,141069.48,53914.9,12474.4,94222.45,0,1,0,1
397,73313.85,117885.56,164624.32,46397.89,161220.91,0,0,1,0
126,17080.99,114667.71,194243.98,166241.07,142799.35,1,0,1,0
650,92102.99,82137.38,81799.17,154744.32,197670.65,0,0,0,1
726,74010.22,27311.1,29958.92,96058.7,168069.39,0,0,0,1
143,44535.12,177006.51,78739.48,129693.6,1162.12,1,1,0,1
597,57946.9,18466.85,191973.08,5940.91,54462.33,1,0,1,0
240,88522.67,180832.9,178000.9,193583.04,153060.58,0,1,0,0
511,96453.5,28927.92,81038.3,100418.88,130624.85,0,1,0,1
500,79940.75,144269.31,149179.58,126026.8,57530.75,1,0,1,0
385,26867.94,199185.12,131458.58,36702.64,164513.24,1,0,1,1
540,22869.16,51377.94,92535.19,106858.54,144352.69,0,1,1,1
521,21603.74,145756.79,101274.1,157640.94,170081.38,1,1,1,0
474,32366.35,171687.64,47513.3,156143.32,89999.62,0,0,0,1
211,91439.59,182419.02,9703.53,123386.25,159403.16,1,1,0,1
524,30052.96,154209.32,135475.79,23550.99,139852.76,1,1,0,0
587,91364.44,184828.82,164508.88,128573.57,36848.58,0,0,0,1
550,97824.06,147039.12,3754.66,121028.52,195094.99,0,0,0,1
337,12808.57,44620.47,108932.21,175160.3,161929.12,1,1,0,1
519,50682.93,136994.79,150772.17,5636.52,166007.72,1,1,1,1
572,98051.96,73254.15,24147.6,160303.64,57825.55,1,0,1,0
741,5912.25,148225.33,111241.17,95792.23,30740.41,0,0,0,1
48,8219.43,105746.3,143713.91,138682.31,41185.06,0,0,1,1
498,96705.35,95161.07,101930.25,189948.56,193588.17,1,1,0,1
92,22756.06,76961.77,48739.43,4710.53,146959.83,1,0,0,1
153,7316.46,76592.8,38439.37,26548.59,6458.83,1,0,0,0
75,13792.66,198570.24,171841.86,188770.71,125335.57,0,1,0,1
618,34646.5,121708.38,54020.69,57290.24,45418.07,1,0,1,0
452,73960.27,14240.72,167965.38,4411.97,30667.64,1,0,0,0
705,41341.91,1698.27,117054.31,113323.97,60227.11,1,1,0,1
206,49452.52,138119.61,112596.11,67791.75,35281.39,1,1,1,0
201,24952.71,43726.78,11756.83,13809.66,106162.83,0,1,1,1
330,33816.99,174198.25,36390.81,92632.76,37794.66,0,0,0,1
544,44339.38,125877.15,92926.8,87221.28,66355.24,1,0,1,1
262,61762.15,167819.61,26243.96,39593.53,50050.42,1,1,1,1
375,72293.2,71858.21,36882.85,45008.95,170987.0,0,1,1,0
138,35888.69,133699.74,128558.68,167247.23,120751.33,1,0,0,0
347,64251.8,128777.82,93846.03,149200.74,46431.77,1,0,1,1
146,31257.48,149573.3,3627.87,84750.09,119540.92,1,0,0,0
397,96929.55,175060.57,195166.65,160720.9,59879.47,0,0,1,1
455,97240.75,62948.87,187311.4,20992.49,88265.7,0,0,1,1
279,41139.38,45986.89,167260.61,39580.96,184069.97,0,0,1,0
297,31741.48,48039.75,113650.54,59183.19,26767.74,1,0,1,0
157,15939.64,30160.22,158784.42,155097.06,100088.3,1,0,0,0
733,15148.76,182411.61,149265.6,43176.41,76070.05,0,1,1,0
521,5006.36,65068.45,134896.54,11876.32,162896.38,1,0,0,0
366,80852.14,163528.28,65638.38,16759.06,150515.51,1,0,0,1
317,29459.38,62600.59,23921.56,139244.81,190383.09,0,0,1,0
682,81645.95,180519.71,97203.59,181266.31,123051.77,0,1,0,0
272,72968.25,82063.14,10849.12,63779.61,78439.36,0,1,1,1
45,6564.41,133746.86,21660.08,49579.59,72832.58,0,1,1,1
18,34929.13,25401.39,178314.6,145346.02,145352.76,1,0,0,1
385,94142.25,165211.29,128642.46,72757.41,29022.18,0,0,0,1
145,14402.12,29195.5,30625.97,156210.81,32767.72,1,0,0,1
233,30148.23,103253.59,69640.03,124771.08,144920.58,1,0,0,0
307,2235.33,96406.74,168601.55,88128.6,52447.85,1,0,0,1
578,18153.32,137212.89,144199.87,172507.48,121173.22,0,0,1,1
591,33388.93,61701.04,114761.28,45969.28,108488.92,0,0,1,1
235,17067.98,70606.43,143776.19,29809.82,103495.4,1,1,1,1
263,23807.01,43826.99,22269.49,105019.91,128191.56,0,0,0,0
117,91664.84,18502.3,100597.29,157526.98,179185.56,1,1,1,0
304,39189.12,146216.55,101237.67,111583.85,127195.1,1,0,1,0
195,8107.01,143029.46,34678.49,61217.72,45493.53,1,1,1,1
287,63777.4,90687.35,89419.06,187484.03,15383.85,1,0,0,1
124,78384.78,35193.82,132136.91,112494.19,139909.73,0,1,0,0
390,65182.79,117277.13,52466.05,59382.95,143624.84,1,1,1,0
635,5079.87,179529.07,38246.68,112033.78,7866.0,1,0,1,1
573,95847.44,193366.64,84581.47,182052.24,155382.54,0,0,0,1
268,69222.71,157542.7,90780.32,198246.47,196355.91,0,0,1,0
100,60400.04,187974.19,182463.49,52759.49,199648.6,0,0,0,0
391,74872.76,30053.36,144462.47,26023.1,46189.27,1,1,0,0
450,33721.94,175555.62,192090.57,187287.14,142215.16,0,1,1,0
471,99211.54,104547.02,122981.79,108246.86,18349.58,0,1,0,1
546,10854.57,40593.86,168978.96,175948.66,69460.95,1,0,1,0
674,92719.54,7234.23,136172.97,140493.54,73810.91,1,0,0,1
638,29080.07,93930.04,136626.84,183712.08,26077.96,1,0,0,0
266,95352.63,51794.88,183968.96,78233.18,52623.63,1,0,1,0
298,21177.93,86819.89,161219.08,185220.01,116195.78,1,0,1,1
647,47783.82,41866.09,68864.07,141769.53,127393.56,0,1,0,1
671,58420.65,78933.28,21547.13,137851.75,174096.57,0,1,1,0
662,12562.04,135062.0,41630.99,143387.07,161351.88,1,1,0,0
129,64465.15,181765.82,16227.15,149758.53,177186.59,1,0,0,1
319,3870.03,7115.53,65737.34,115570.72,183611.31,1,0,0,0
264,90218.31,192113.99,163830.84,122385.78,154623.78,1,1,1,0
115,9453.58,185784.65,140754.78,6796.06,107564.99,0,1,1,1
32,82254.93,117392.06,37437.61,176242.23,88235.28,0,1,1,0
422,28686.3,8424.81,9033.37,146417.18,73396.09,1,1,0,0
730,59184.23,83486.47,104774.04,113331.12,137884.89,1,0,0,0
666,27371.78,83394.54,159222.61,71960.25,97289.49,1,1,0,0
323,60082.65,192146.34,163261.8,180433.46,32399.09,1,0,0,1
553,31562.91,180466.02,124206.31,15361.21,170577.76,1,0,0,0
279,81950.21,48797.28,83821.34,24268.3,198934.67,0,1,1,1
677,58560.07,123036.71,161731.32,194650.9,65192.25,0,0,0,1
344,49801.91,96246.84,156055.33,71056.72,44955.79,1,0,1,1
352,22340.02,74626.39,195900.17,188406.52,138047.05,0,1,1,0
197,95895.21,192296.07,188168.36,127881.16,193312.68,1,1,1,1
415,52891.13,174371.14,130839.29,122553.43,23194.46,0,0,1,0
83,34507.28,11725.3,58120.07,81046.49,44499.97,0,0,0,1
53,8058.04,96117.59,139619.83,167342.47,50346.61,0,1,0,1
361,26295.01,85818.79,70484.37,24823.86,183919.04,0,0,1,1
432,34095.31,42376.75,12739.14,179324.96,47901.41,0,0,1,0
182,21574.18,191433.54,99328.23,189568.61,153695.0,0,1,0,0
715,13112.41,82972.39,45759.29,63955.8,194197.09,0,1,0,1
509,19542.11,1448.88,29208.14,190566.87,196240.07,1,0,1,0
694,50396.44,84983.75,27692.77,92676.35,79548.92,1,0,0,1
509,65018.92,86276.83,157248.64,31385.86,89337.3,1,1,0,0
164,5245.43,130799.01,25697.15,87119.56,120020.33,1,0,0,0
648,86724.32,34072.39,130097.31,58751.16,56379.7,0,1,1,0
427,98038.84,88787.64,113095.4,111554.39,27334.2,1,1,0,1
381,75657.84,175438.19,23337.84,90700.14,22360.69,1,1,1,1
162,65848.33,151983.5,184182.41,127432.17,97477.93,1,0,0,1
331,59611.41,46265.35,21257.23,75799.41,169866.57,0,0,1,1
128,53178.66,51605.94,23320.06,168092.74,24828.49,1,1,1,1
734,44732.11,38110.36,46015.48,143071.92,25226.87,0,0,0,0
626,927.21,177147.4,99664.3,59092.24,185549.72,0,1,1,1
668,40323.17,12173.32,168206.25,151685.01,152966.33,0,1,1,0
335,49600.52,13440.95,175583.56,194665.11,98790.53,0,1,1,1
617,2271.59,40666.27,20551.42,45825.98,22500.36,1,1,0,0
671,33408.36,157404.03,170002.67,130740.13,40272.36,1,1,1,1
375,32121.05,182891.87,13970.06,24923.92,123278.51,1,1,1,0
166,61333.08,27085.8,6675.99,64867.31,135016.97,0,0,0,0
308,59943.73,29144.85,163552.55,93551.64,150250.47,1,0,1,0
24,22187.3,73275.93,193763.09,153519.65,86948.9,1,1,0,1
220,2456.29,38672.63,130235.73,179664.05,189961.85,1,1,0,1
648,31361.95,168479.77,109048.31,194869.08,190555.61,0,1,1,0
146,14495.65,17879.77,77620.14,66284.92,102536.96,0,0,1,1
503,95987.0,130698.65,182890.76,110607.64,195106.96,0,0,1,1
610,41063.57,156480.09,128414.53,3146.94,41801.71,0,0,0,1
564,78054.59,54407.66,41497.5,102106.0,120199.11,1,1,1,0
651,60527.8,57865.29,176206.44,83481.61,139965.33,0,0,0,1
327,46704.39,91107.55,148487.91,62116.76,25458.53,0,0,0,0
536,28058.23,50899.84,130649.56,80862.64,128293.57,0,1,1,1
425,72083.4,74255.04,73109.95,176076.95,50124.73,1,1,1,1
471,98686.19,78596.46,137022.09,31519.25,30658.4,0,1,1,1
79,52852.44,106411.58,135032.55,155376.71,4303.1,1,0,1,0
684,93429.61,79203.33,142898.63,38324.98,56406.65,0,0,1,1
23,59559.59,184720.97,18114.93,54258.73,191808.0,0,0,1,0
93,92171.76,90828.73,121660.67,11607.83,41046.04,1,1,1,1
187,2508.56,102333.84,115040.48,169405.32,159872.69,0,1,0,1
350,71188.84,10468.88,141622.33,165727.19,167915.78,0,1,0,1
732,89665.57,199936.51,193220.71,95797.07,147039.83,1,1,0,0
196,21961.98,69264.95,26259.53,130999.82,151794.5,0,0,0,1
164,55308.81,76534.98,120417.29,82953.57,110459.9,1,0,0,0
12,87173.08,86695.07,135238.84,55532.05,199794.51,0,1,0,1
402,11183.19,146318.32,72424.85,66509.19,156652.35,0,1,1,1
540,60566.6,143857.76,68333.5,34877.7,132329.11,0,1,1,0
414,6780.78,167648.9,64400.8,95769.24,111846.61,0,1,0,1
26,28244.27,167352.29,32843.32,148076.4,179714.12,1,0,0,0
189,90439.91,6145.33,33866.82,28787.14,193123.96,1,0,1,0
508,67047.38,191515.38,178935.34,152907.5,184535.68,1,1,0,1
526,94546.68,294.55,53539.79,166725.89,68601.13,0,1,0,0
336,32523.37,153953.67,125125.76,37039.2,87222.7,1,0,1,1
411,16293.82,104394.93,114217.5,37347.1,123891.93,1,1,1,0
698,28730.55,72562.73,116233.49,125465.24,136343.78,0,1,0,1
57,54967.97,15153.22,74427.56,173512.49,180343.43,1,1,0,1
573,26677.37,152121.7,159211.25,107641.78,166425.0,1,0,0,1
250,86106.56,12551.51,188453.23,127184.59,55880.76,0,0,0,1
7,98861.79,161937.02,164260.23,90915.66,111152.94,0,1,0,1
284,78658.08,40139.17,123436.37,24892.04,104136.86,1,1,0,1
385,60328.81,99104.97,120475.12,85950.03,5063.87,0,1,0,0
111,72227.88,169182.83,74599.57,168199.71,77799.62,1,0,1,0
213,77298.9,69163.14,104735.5,81211.23,181966.38,1,1,0,0
562,90233.69,114197.95,41485.88,120001.89,91590.32,1,1,1,1
349,80239.02,198928.69,112996.79,27655.95,194504.37,0,0,1,0
243,48642.81,120472.61,165788.97,66633.66,164048.66,0,1,0,0
241,43602.4,40957.93,77833.21,48952.02,11100.29,1,1,1,0
129,76018.88,159947.79,143309.7,106079.57,14958.73,0,0,1,1
178,41771.86,119201.53,19683.74,26437.4,11898.4,0,1,0,1
527,5661.06,188653.19,108857.54,171667.09,194277.77,1,1,1,0
33,39589.06,123971.14,185513.91,123007.69,127830.05,0,0,0,0
163,32592.2,7221.88,108937.73,48317.99,19302.97,0,0,0,1
420,50997.28,167207.87,149786.43,3331.52,115662.73,1,0,0,0
27,15851.56,76291.72,57148.15,96115.32,16751.56,1,0,0,1
234,97765.59,195423.13,122610.01,197349.56,35064.18,1,0,1,0
690,29401.28,87832.09,45347.39,132273.52,165454.16,1,1,0,0
724,27166.95,131956.69,111092.93,75679.49,138441.34,1,1,1,0
110,77061.52,145930.36,69261.59,81901.7,166765.07,0,1,1,0
736,52332.79,92756.28,179799.76,184729.35,180165.86,1,0,0,1
199,50911.57,30259.14,174191.55,109508.44,183159.38,0,0,0,1
417,76425.04,135121.04,130657.13,190577.55,126385.72,1,0,1,1
155,32718.45,139355.71,137793.82,124001.07,191151.66,0,0,1,0
289,26643.2,77184.85,33486.96,34633.59,167463.91,0,1,1,1
484,397.39,160545.5,1367.14,114645.9,10242.71,1,0,1,1
719,23011.4,130264.78,43697.27,155768.51,144044.37,0,0,1,1
611,44411.95,119246.53,196130.32,15336.32,145754.98,1,1,0,1
591,26708.97,96106.57,192199.05,13966.26,193371.9,0,0,0,0
127,23779.07,53510.33,65935.76,129694.1,37673.51,1,1,1,0
624,57103.29,154622.17,13928.81,150783.74,18829.31,1,0,0,1
629,44975.87,129484.02,161893.98,135537.7,91994.06,0,0,0,0
177,25365.28,113060.5,3854.68,153044.75,145953.27,0,1,0,0
459,4209.2,37491.76,49717.77,141743.51,55791.38,0,0,1,1
47,94893.0,32221.9,189130.28,149369.84,25015.16,1,1,0,1
364,44991.28,158213.58,70890.15,196616.22,155168.0,0,1,1,1
623,23179.89,31072.47,170852.77,189327.78,28612.02,0,0,1,1
720,1503.45,187675.92,149635.99,52473.42,82807.31,0,1,0,1
717,22876.61,58310.16,111984.12,100593.26,105637.73,1,1,1,1
598,60402.91,56124.13,49809.47,176553.46,109779.37,0,0,0,1
517,25393.86,116113.81,86444.54,178728.67,160464.69,0,0,1,1
353,56134.04,60875.82,95505.54,53839.07,52468.63,1,1,0,0
135,27794.74,29661.77,23717.48,193682.33,77753.67,1,1,1,1
250,42061.83,46779.4,199004.38,1906.31,71738.39,1,0,0,1
542,8807.93,3516.2,191523.92,187632.41,60486.65,0,1,1,1
729,76178.65,136605.75,156695.77,117149.71,48476.12,1,0,1,0
723,12897.18,163306.19,92242.4,41290.85,30473.67,0,0,0,0
239,94820.27,91589.55,111821.66,158417.52,150897.34,0,0,0,1
727,32457.19,50558.07,117412.02,146974.81,145271.48,0,1,1,1
674,18362.17,2946.54,9706.68,122786.27,121029.63,1,0,1,1
91,23227.87,7511.43,107758.67,94409.87,156102.91,0,1,1,1
591,39478.53,140026.02,121074.28,34631.66,97375.67,1,1,0,0
481,99035.63,180350.29,66164.67,181997.32,54862.13,0,0,0,0
311,51462.09,103831.54,11226.61,104779.89,160768.86,0,1,0,1
655,57965.26,62749.25,191474.29,63420.52,165548.18,1,1,0,1
170,38854.02,57627.06,154089.13,91521.45,143034.3,1,1,0,0
257,8129.34,180570.77,123795.63,184825.56,49303.13,0,0,0,1
634,14213.7,106635.56,167246.83,156758.07,34548.65,0,0,0,1
222,16171.08,191824.05,119897.95,10617.01,91605.16,1,0,0,0
156,11461.16,130277.07,29771.96,47405.98,23090.06,1,0,0,0
479,99398.7,54181.6,103810.01,128595.76,73435.01,1,1,1,1
210,2574.16,90369.24,65168.01,138138.28,42432.62,1,0,1,0
132,92490.49,104625.02,84861.18,159521.26,16815.54,0,1,0,1
448,82330.15,56888.63,184997.16,185820.8,17061.1,1,0,1,0
208,80819.11,5527.86,183781.41,181132.15,66178.57,0,0,0,1
740,87430.87,35073.37,26623.46,37472.91,76801.53,0,0,0,1
289,14267.75,190612.89,134735.56,149403.74,163413.95,1,0,0,0
515,23552.2,12530.43,155946.43,8478.94,130958.56,1,1,1,0
737,48031.76,162207.87,192374.73,137634.69,10235.81,0,1,0,0
556,59700.97,172060.43,51815.09,68751.99,135286.79,0,1,0,1
120,85737.15,57051.16,183759.46,63898.35,141739.76,1,0,1,0
198,55662.79,98990.34,7837.85,188998.9,87349.37,1,0,0,1
327,12113.41,199548.58,108290.47,102906.68,33847.09,1,1,1,1
257,96023.9,106369.42,63868.79,108796.37,132662.58,1,0,0,1
602,56257.81,95945.87,41087.65,47238.94,168981.76,1,0,0,0
329,24791.91,193811.41,26372.28,76963.48,158877.18,1,1,0,0
328,85705.1,26952.69,146752.74,178476.17,77095.98,1,0,0,1
263,99589.09,196013.07,142756.7,178785.19,110689.5,1,1,1,1
207,49930.38,74175.52,119538.1,960.35,65193.57,1,1,1,0
604,41202.91,155456.32,3971.39,197974.34,118239.12,1,1,1,1
615,13427.8,173291.97,48527.61,184608.53,90709.88,1,1,1,1
